Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,BookingDateTime,Booking_Hour,Day_Name,Day_Type,Month_Name,Data_Validity_Flag,Driver_Rating_Clean,Customer_Rating_Clean,Distance_Validity,Revenue_Validity,Peak_Flag
3/23/2024,12:29:38 PM,"""CNR5884300""",No Driver Found,"""CID1982111""",eBike,Palam Vihar,Jhilmil,null,null,null,null,null,null,null,null,0,0,null,null,null,3/23/2024 12:29:00 PM,12,Saturday,Weekend,March,Invalid,0,0,Invalid,Valid,Non-Peak
11/29/2024,6:01:39 PM,"""CNR1326809""",Incomplete,"""CID4604802""",Go Sedan,Shastri Nagar,Gurgaon Sector 56,4.9,14,null,null,null,null,1,Vehicle Breakdown,237,5.73,null,null,UPI,11/29/2024 6:01:00 PM,18,Friday,Weekday,November,Valid,0,0,Valid,Valid,Peak
8/23/2024,8:56:10 AM,"""CNR8494506""",Completed,"""CID9202816""",Auto,Khandsa,Malviya Nagar,13.4,25.8,null,null,null,null,null,null,627,13.58,4.9,4.9,Debit Card,8/23/2024 8:56:00 AM,8,Friday,Weekday,August,Invalid,4.9,4.9,Invalid,Valid,Peak
10/21/2024,5:17:25 PM,"""CNR8906825""",Completed,"""CID2610914""",Premier Sedan,Central Secretariat,Inderlok,13.1,28.5,null,null,null,null,null,null,416,34.02,4.6,5,UPI,10/21/2024 5:17:00 PM,17,Monday,Weekday,October,Invalid,4.6,5,Invalid,Valid,Peak
9/16/2024,10:08:00 PM,"""CNR1950162""",Completed,"""CID9933542""",Bike,Ghitorni Village,Khan Market,5.3,19.6,null,null,null,null,null,null,737,48.21,4.1,4.3,UPI,9/16/2024 10:08:00 PM,22,Monday,Weekday,September,Invalid,4.1,4.3,Invalid,Valid,Non-Peak
2/6/2024,9:44:56 AM,"""CNR4096693""",Completed,"""CID4670564""",Auto,AIIMS,Narsinghpur,5.1,18.1,null,null,null,null,null,null,316,4.85,4.1,4.6,UPI,2/6/2024 9:44:00 AM,9,Tuesday,Weekday,February,Invalid,4.1,4.6,Invalid,Valid,Peak
6/17/2024,3:45:58 PM,"""CNR2002539""",Completed,"""CID6800553""",Go Mini,Vaishali,Punjabi Bagh,7.1,20.4,null,null,null,null,null,null,640,41.24,4,4.1,UPI,6/17/2024 3:45:00 PM,15,Monday,Weekday,June,Invalid,4,4.1,Invalid,Valid,Non-Peak
3/19/2024,5:37:37 PM,"""CNR6568000""",Completed,"""CID8610436""",Auto,Mayur Vihar,Cyber Hub,12.1,16.5,null,null,null,null,null,null,136,6.56,4.4,4.2,UPI,3/19/2024 5:37:00 PM,17,Tuesday,Weekday,March,Invalid,4.4,4.2,Invalid,Valid,Peak
9/14/2024,12:49:09 PM,"""CNR4510807""",No Driver Found,"""CID7873618""",Go Sedan,Noida Sector 62,Noida Sector 18,null,null,null,null,null,null,null,null,0,0,null,null,null,9/14/2024 12:49:00 PM,12,Saturday,Weekend,September,Invalid,0,0,Invalid,Valid,Non-Peak
12/16/2024,7:06:48 PM,"""CNR7721892""",Incomplete,"""CID5214275""",Auto,Rohini,Adarsh Nagar,6.1,26,null,null,null,null,1,Other Issue,135,10.36,null,null,Cash,12/16/2024 7:06:00 PM,19,Monday,Weekday,December,Valid,0,0,Valid,Valid,Peak
